Lokal      	Galactic     	Teta            	R +- err
         	"NGC3329	"	1.0013547747880696	21.442+-0.108
         	"NGC7545	"	1.1955374857180663	21.442+-0.108
         	"NGC4579	"	1.2608070535739058	21.442+-0.108
         	"NGC7742	"	1.0069191790189782	21.442+-0.108
         	"PGC069332	"	1.1160019383583284	21.442+-0.108
         	"NGC4388	"	1.7414644832877175	21.442+-0.108
         	"PGC078133	"	1.0027530861426315	21.442+-0.108
         	"NGC7259	"	1.0466836057671116	21.442+-0.108
         	"ESO005-004	"	1.0043675161427532	21.442+-0.108
         	"NGC3045	"	1.6693558584320514	21.442+-0.108
         	"NGC0488	"	1.0466342412587704	21.442+-0.108
         	"NGC7690	"	1.000083008459028	21.442+-0.108
         	"NGC0278	"	1.5410804856615021	21.442+-0.108
         	"NGC3381	"	1.1517789075350444	21.442+-0.108
         	"IC1055	"	1.0051963450760617	21.442+-0.108
         	"PGC053779	"	1.0241082805097532	21.442+-0.108
         	"UGC10713	"	1.2766024857712548	21.442+-0.108
         	"UGC05953	"	1.0162970175445563	21.442+-0.108
         	"ESO345-002	"	1.0000062277933244	21.442+-0.108
         	"ESO428-037	"	1.0096214269202657	21.442+-0.108
         	"IC1970	"	1.7897803462583444	21.442+-0.108
         	"NGC5443	"	1.1894921680831692	21.442+-0.108
         	"NGC1640	"	1.0071490365998694	21.442+-0.108
         	"ESO407-007	"	1.0372221535781967	21.442+-0.108
         	"NGC3691	"	1.0076284982524015	21.442+-0.108
         	"NGC5757	"	1.0753024879664688	21.442+-0.108
         	"NGC2543	"	1.0269790697495071	21.442+-0.108
         	"UGC05646	"	1.003864420441048	21.442+-0.108
         	"UGC12054	"	1.0000856200820287	21.442+-0.108
         	"NGC0615	"	1.0852492281675448	21.442+-0.108
         	"UGC03630	"	1.0661956619185666	21.442+-0.108
         	"NGC3177	"	1.1954067953187373	21.442+-0.108
         	"NGC2633	"	1.0031684225574615	21.442+-0.108
         	"NGC5957	"	1.3211938881768641	21.442+-0.108
         	"NGC5372	"	1.0735981310579974	21.442+-0.108
         	"NGC3424	"	1.0083905515173774	21.442+-0.108
         	"NGC4699	"	1.229740366573016	21.442+-0.108
         	"ESO091-016	"	1.1153277369090675	21.442+-0.108
         	"NGC4037	"	1.1645055718999153	21.442+-0.108
         	"NGC7463	"	1.1723933667265785	21.442+-0.108
         	"NGC0489	"	1.302530412371562	21.442+-0.108
         	"ESO495-012	"	1.1812380017713286	21.442+-0.108
         	"NGC5492	"	1.0095282242828874	21.442+-0.108
         	"PGC020827	"	1.523078564969585	21.442+-0.108
         	"NGC5188	"	1.1816859220818916	21.442+-0.108
         	"NGC5560	"	1.2606274066800656	21.442+-0.108
         	"NGC2841	"	1.0211524809442458	21.442+-0.108
         	"ESO122-001	"	1.0261405756064963	21.442+-0.108
         	"NGC7724	"	1.077750207304793	21.442+-0.108
         	"NGC2683	"	1.046018996972768	21.442+-0.108
         	"NGC4217	"	1.249994366389459	21.442+-0.108
         	"NGC4216	"	1.2036348619457518	21.442+-0.108
         	"NGC0224	"	1.4327279505680792	21.442+-0.108
         	"IC1067	"	1.3610819440092974	21.442+-0.108
         	"UGC06169	"	1.3737507441358567	21.442+-0.108
         	"NGC5792	"	1.1157220873978972	21.442+-0.108
         	"NGC4013	"	1.7060065878377701	21.442+-0.108
         	"NGC2550	"	1.0019380295851934	21.442+-0.108
         	"NGC0779	"	1.2536835226586533	21.442+-0.108
         	"NGC3625	"	1.0877053925836133	21.442+-0.108
         	"NGC5740	"	1.00000556383072	21.442+-0.108
         	"IC4660	"	1.0394306694100115	21.442+-0.108
         	"NGC4800	"	1.0903505813010843	21.442+-0.108
         	"IC1048	"	1.0024289263368387	21.442+-0.108
