   GCN        Name       Time    TimeHHMMSS  Duration   Fluence  Err_Fluence(-)  Err_Fluence(+)      PFti  PFscale       PF  Err_PF(-)  Err_PF(+)    Ep  Err_Ep(-)  Err_Ep(+)       Mode  Z(Redshift) 
 24828  GRB190610A  41263.560  11:27:43.560      0.6s   7.65E-6        -1.48E-6        +1.48E-6    +0.080    0.016  2.43E-5   -0.31E-5   +0.31E-5   903       -181       +251  triggered           -- 
 24827  GRB190611B  82065.599  22:47:45.599      130s    9.2E-5         -1.0E-5         +1.0E-5   +17.344    0.064  1.33E-5   -0.11E-5   +0.11E-5   250        -21        +24  triggered           -- 
 24784  GRB190606A     6903.8  01:55:03.800      0.2s   1.16E-5        -0.18E-5        +0.18E-5    +0.034    0.016  1.45E-4   -0.39E-4   +0.35E-4  2373       -665       +939  triggered           -- 
 24730  GRB190531B  72616.175  20:10:16.175      110s   1.51E-4        -0.15E-4        +0.16E-4   +17.648    0.064  1.96E-5   -0.30E-5   +0.30E-5   364        -34        +40  triggered           -- 
 24715  GRB190530A  37146.000  10:19:06.000       55s   5.57E-4        -0.15E-4        +0.15E-4   +14.912    0.064  1.59E-4   -0.10E-4   +0.10E-4   848        -33        +44  triggered           -- 
 24652  GRB190519A  26732.082  07:25:32.082       51s   3.20E-5        -0.16E-5        +0.18E-5    +6.752    0.064  5.80E-6   -1.01E-6   +1.01E-6   125         -6         +7  triggered           -- 
 24534  GRB190511A  26067.524  07:14:27.524     31.8s   1.93E-5        -0.11E-5        +0.12E-5   +21.936    0.064  3.81E-6   -0.90E-6   +0.91E-6   185        -15        +18  triggered           -- 
 24533  GRB190510A  37156.266  10:19:16.266      0.6s   2.36E-6        -0.29E-6        +0.38E-6    +0.044    0.016  8.58E-6   -2.57E-6   +2.72E-6   574        -93       +105  triggered           -- 
 24452  GRB190501A  19401.146  05:23:21.146       50s   2.04E-4        -0.13E-4        +0.13E-4    +4.272    0.064  3.55E-5   -0.99E-5   +0.99E-5   316        -23        +24  triggered           -- 
 24138  GRB190415A  14986.024  04:09:46.024       19s    8.8E-5         -0.8E-5         +0.8E-5    +5.824    0.064  2.33E-5   -0.14E-5   +0.14E-5   892        -99       +120  triggered           -- 
 24044  GRB190329A  22905.458  06:21:45.458        2s   2.20E-5        -0.14E-5        +0.16E-5   +11.168    0.064  1.31E-5   -0.16E-5   +0.16E-5   345        -39        +50  triggered           -- 
 24015  GRB190324A  81858.644  22:44:18.644     17.3s   2.07E-5        -0.28E-5        +0.31E-5    +1.648    0.064  7.59E-6   -1.80E-6   +1.86E-6   146        -21        +25  triggered       1.1715 
 23943  GRB190304A  70641.622  19:37:21.622      3.3s   2.48E-6        -0.35E-6        +0.38E-6    -0.028    0.064  4.70E-6   -1.01E-6   +1.03E-6    97        -15        +22  triggered           -- 
 23939  GRB190305A    47115.9  13:05:15.900       11s   1.47E-4        -0.04E-4        +0.04E-4    +1.024    0.064  2.00E-4   -0.08E-4   +0.08E-4   387        -15        +16  triggered           -- 
 23880  GRB190206A  13763.926  03:49:23.926      0.1s   1.64E-5        -0.17E-5        +0.17E-5    +0.004    0.016  6.44E-4   -0.75E-4   +0.76E-4  1600       -223       +248  triggered           -- 
 23869  GRB190204A  20755.832  05:45:55.832       49s   5.31E-5        -0.51E-5        +0.53E-5    +8.288    0.064  2.17E-5   -0.28E-5   +0.29E-5   308        -30        +33  triggered           -- 
 23859  GRB190203A  56630.443  15:43:50.443        --    4.9E-5         -0.5E-5         +0.5E-5   +20.352    0.064   3.5E-6    -0.4E-6    +0.4E-6   314        -22        +25  triggered           -- 
 23809  GRB190129B  44134.335  12:15:34.335       60s   5.59E-4        -0.40E-4        +0.40E-4   +17.344    0.064  1.19E-4   -0.04E-4   +0.04E-4   561        -53        +56  triggered           -- 
 23783  GRB190122A  26347.426  07:19:07.426       67s   3.52E-5        -0.74E-5        +0.85E-5    -0.046    0.064  3.77E-6   -1.47E-6   +3.90E-6   718       -337      +7104  triggered           -- 
 23737  GRB190114C  75422.341  20:57:02.341        --   4.83E-4        -0.10E-4        +0.10E-4    +3.872    0.064  2.40E-4   -0.08E-4   +0.08E-4   646        -16        +16  triggered       0.4245 
 23675  GRB190110A  62689.767  17:24:49.767        5s   3.39E-6        -0.51E-6        +0.88E-6    +0.158    0.064  2.21E-6   -0.93E-6   +1.71E-6   132        -60       +111  triggered           -- 
 23672  GRB190103A  60113.215  16:41:53.215       33s   7.14E-5        -0.65E-5        +0.68E-5   +21.648    0.064  2.00E-5   -0.30E-5   +0.32E-5   304        -26        +28  triggered           -- 
 23637  GRB190106A  48887.602  13:34:47.602       79s   1.12E-5        -0.17E-5        +0.25E-5    -0.044    0.064  1.81E-6   -0.89E-6   +1.19E-6   171        -42        +90  triggered        1.859 
 23612  GRB190103B  75832.010  21:03:52.010       27s   1.96E-5        -0.08E-5        +0.08E-5    +1.408    0.064  3.87E-6   -0.79E-6   +0.79E-6   142         -9        +11  triggered           -- 
 23589  GRB181227A  22619.317  06:16:59.317       17s   5.91E-5        -0.12E-5        +0.12E-5    +8.944    0.064  1.39E-5   -0.15E-5   +0.16E-5    93         -2         +2  triggered           -- 
 23559  GRB181222A  24090.989  06:41:30.989    171.5s   3.97E-4        -0.33E-4        +0.32E-4   +94.208    0.064  6.71E-5   -0.66E-5   +0.66E-5   570       -100       +133  triggered           -- 
