|Galaxy_name                    |R.A.       |Decl.        |Ang_R
UGC07802                    	189.5871	7.8918	      1.173
IC5201                      	335.2414	-46.0302	  5.239
NGC4502                     	188.0137	16.6877	      0.774
ESO298-015                  	032.6620	-40.9177	  1.347
ESO209-009                  	119.5645	-49.8541	  4.563
NGC1688                     	072.0994	-59.8004	  1.734
NGC7497                     	347.2644	18.1769	      3.085
ESO499-037                  	150.9243	-27.0278	  2.451
NGC3794                     	175.2252	56.2022	      1.618
NGC4571                     	189.2349	14.2173	      2.687
UGC07774                    	189.0972	40.0048	      2.565
ESO271-010                  	210.1935	-45.4185	  1.545
IC3322                      	186.4755	7.5547	      1.619
ESO569-014                  	162.8502	-19.8908	  2.508
NGC4771                     	193.3384	1.2692	      2.75
NGC4330                     	185.8212	11.3679	      3.23
IC4720                      	278.386	   -58.4066       1.946
NGC3495                     	165.3177	3.628	      3.541
NGC3795A                    	174.8371	58.2682	      1.816
ESO385-033                  	217.5654	-34.2359	  1.735
UGC09299                    	217.3942	-0.018	      1.347
UGC08146                    	195.5335	58.7005	      2.508
NGC4498                     	187.9144	16.852	      2.183
PGC024870                   	132.7794	-17.5638	  2.566
ESO563-012                  	130.4116	-20.7442	  1.227
UGC09345                    	217.9341	6.1582	      0.811
UGC09215                    	215.8632	1.7262	      1.619
NGC5984                     	235.7227	14.2299	      2.135
NGC6237                     	251.5918	70.3588	      0.46
UGC05798                    	159.9462	47.9325	      0.691
IC2233                      	123.4951	45.7431	      3.305
NGC6689                     	278.7094	70.5239	      2.947
ESO481-018                  	049.6366	-25.8356	  1.992
UGC06534                    	173.3356	63.2799	      1.817
UGC06390                    	170.6742	64.0665	      1.476
PGC036643                   	176.3592	-10.1028	  1.947
UGC05203                    	146.7325	79.8105	      1.656
NGC3027                     	148.9189	72.2036	      3.084
UGC06594                    	174.4047	16.5561	      1.858
UGC08365                    	199.6882	41.9498       1.695
UGC08726                    	206.9577	40.4851	      1.619
NGC6339                     	259.2768	40.8451	      2.086
UGC01862                    	036.1033	-2.1624	      1.2
NGC3279                     	158.6782	11.1974	      2.085
UGC00711                    	017.1537	1.6417	      2.626
ESO423-002                  	078.8179	-30.5265	  2.085
IC3247                      	185.8081	28.8937	      1.862
NGC5496                     	212.9083	-1.1619	      3.382
UGC06378                    	170.5345	69.6317	      1.775
ESO146-014                  	333.2493	-62.0683	  2.038
NGC7418A                    	344.1717	-36.7727	  2.508
UGC05347                    	149.3188	4.5269	      0.998
UGC06791                    	177.3484	26.7412	      1.41
PGC043679                   	193.1122	-9.7537	      1.695
ESO236-035                  	325.6819	-47.9906	  1.443
NGC4631                     	190.5328	32.5424	      10.694
NGC4142                     	182.3728	53.1041       1.582
UGC11566                    	307.05	    0.2884	      0.446
NGC5705                     	219.9574	-0.7184	      2.085
NGC4197                     	183.6603	5.8048	      2.451
NGC4222                     	184.0938	13.3071	      2.287
ESO508-011                  	196.9369	-22.8578	  2.184
ESO383-091                  	207.6322	-37.2891	  2.63
NGC7320                     	339.0142	33.9482	      1.377
ESO358-063                  	056.5791	-34.9436	  3.624
UGC04390                    	126.9649	73.5171	      1.373
IC4871                      	293.9259	-57.5191	  2.508
ESO292-014                  	355.6468	-44.9047	  1.859
ESO576-003                  	197.6485	-21.7482	  1.442
ESO440-027                  	178.3501	-28.5531	  3.157
UGC06023                    	163.5871	27.2399	      1.228
ESO490-045                  	101.6932	-26.4749	  1.817
UGC03826                    	111.1162	61.6939	      2.507
NGC3782                     	174.8364	46.5133	      1.173
NGC5107                     	200.3544	38.5368       1.228
UGC07991                    	192.6624	1.4645	      1.258
UGC05708                    	157.8048	4.4724	      2.507
UGC03876                    	112.3228	27.898	      1.62
UGC10020                    	236.4354	20.5605	      1.546
NGC4965                     	196.789	    -28.2281      1.734
NGC5645                     	217.6639	7.2751	      2.038
UGC09760                    	228.0105	1.6985	      1.775
UGC09482                    	220.6957	0.6617	      0.811
ESO550-024                  	065.3070	-21.8458	  3.624
UGC06446                    	171.6687	53.7466	      2.565
NGC6509                     	269.8555	6.287	      1.146
ESO563-034                  	134.2347	-20.5273	  0.87
NGC4635                     	190.6633	19.9451	      1.377
UGC05460                    	152.041	    51.8437       1.657
ESO441-017                  	182.7823	-31.127	      1.347
UGC09242                    	216.3378	39.5394       3.624
UGC07394                    	185.1151	1.4698	      1.2
UGC04238                    	122.9031	76.4217	      1.735
UGC06930                    	179.3224	49.2832	      3.085
NGC3443                     	163.2504	17.5736	      1.991
UGC04753                    	136.1406	45.292	      1.514
PGC045824                   	197.9926	-12.0644	  1.2
NGC4396                     	186.4963	15.6711	      2.339
NGC5556                     	215.142	    -29.2418      3.014
ESO576-040                  	200.1823	-22.051	      1.546
NGC4276                     	185.0313	7.6919	      1.146
NGC3913                     	177.6622	55.3539	      1.858
NGC4533                     	188.5918	2.3254	      1.546
NGC0337                     	014.9587	-7.5782	      2.085
ESO407-009                  	348.1872	-37.2078	  1.411
PGC006667                   	027.2931	-10.0611	  2.086
NGC7437                     	344.5419	14.3087	      1.316
ESO450-014                  	236.802	    -28.774	      1.096
ESO563-029                  	132.8937	-21.6469	  0.737
NGC4393                     	186.4639	27.5614	      2.34
ESO425-002                  	090.1447	-28.9922	  1.817
NGC1744                     	074.9922	-26.0281	  6.75
NGC3079                     	150.4908	55.6797	      5.877
PGC045652                   	197.4454	-10.3255	  2.183
UGC05249                    	146.9389	2.6273	      1.735
NGC3779                     	174.714	    -10.5835	  1.256
ESO430-026                  	123.6633	-31.3471	  1.02
ESO361-015                  	072.9904	-33.1793	  1.774
ESO551-031                  	070.6198	-21.6915	  1.045
IC1420                      	330.6316	19.7503	      0.775
ESO381-038                  	195.0217	-34.4337	  0.724
PGC002805                   	011.9479	-9.8995	      2.134
NGC7713                     	354.0625	-37.9386	  3.229
ESO555-027                  	090.9031	-20.6542	  1.619
PGC031979                   	160.9012	-9.8563	      1.443
ESO382-031                  	199.4169	-37.2799	  1.696
ESO514-007                  	229.9986	-23.9244	  0.793
ESO581-025                  	228.3789	-20.6752	  2.566
ESO013-009                  	015.6828	-80.2339	  1.173
ESO138-014                  	256.7499	-62.0847	  2.748
UGC04556                    	131.0626	41.7167	      0.615
NGC3669                     	171.3616	57.7212	      1.443
ESO248-002                  	046.2759	-45.9622	  2.134
ESO372-009                  	138.4743	-35.0695	  1.095
ESO443-083                  	198.2323	-32.6906	  2.086
PGC006190                   	025.1158	-5.5205	      1.286
PGC030591                   	156.3603	-15.3491	  1.549
ESO576-026                  	199.6446	-21.2993	  1.905
ESO490-010                  	097.9894	-26.7691	  1.546
NGC4713                     	192.4911	5.3114	      2.086
IC3474                      	188.1523	2.6608	      1.62
IC5332                      	353.6145	-36.1017	  6.749
UGC05922                    	162.2563	-0.6404	      0.757
UGC08909                    	209.658	    60.7969	      1.069
ESO577-038                  	207.1066	-18.8715	  2.089
NGC0247                     	011.7856	-20.7604	  21.4
NGC5668                     	218.3512	4.4505	      2.34
NGC4775                     	193.4404	-6.6222	      1.581
UGC03830                    	110.8773	2.6158	      0.85
UGC11074                    	269.7807	7.1413	      1.695
UGC08041                    	193.8027	0.1167	      2.234
PGC008962                   	035.3692	-4.4131	      0.998
ESO214-017                  	160.078	    -48.5695      5.248
NGC4145                     	182.5092	39.8805	      4.258
ESO116-012                  	048.2697	-57.3571	  2.625
ESO440-049                  	181.3917	-31.4236	  1.286
NGC3113                     	151.1085	-28.4437	  2.45
ESO440-011                  	177.1903	-28.2934	  1.816
ESO146-001                  	329.0853	-59.2903	  0.793
NGC2805                     	140.0848	64.1029	      4.777
NGC5774                     	223.4272	3.5825	      2.287
ESO219-021                  	195.588	    -50.3291      3.709
NGC1325A                    	051.2019	-21.3362	  1.316
NGC4020                     	179.736	    30.4125       1.41
IC3896A                     	193.8775	-50.0714      1.858
NGC3906                     	177.4186	48.426	      1.316
ESO008-004                  	209.4508	-83.0799	  1.511
IC1914                      	049.8555	-49.5998	  2.235
PGC016772                   	076.8834	-11.6516	  1.905
PGC006864                   	027.8682	-6.5165       1.146
NGC4010                     	179.658	    47.2614       3.015
NGC3621                     	169.5687	-32.814	      12.4
NGC5964                     	234.4012	5.9737	      2.945
NGC5585                     	214.9507	56.7294	      5.8
NGC0300                     	013.7230	-37.6849	  21.9
ESO060-019                  	134.3613	-69.06	      2.286
NGC4519                     	188.3761	8.6544	      2.185
PGC011367                   	045.1321	-15.7362	  1.094
ESO357-012                  	049.2222	-35.5414	  1.696
PGC037323                   	178.4967	12.1983	      0.473
ESO233-053                  	304.3834	-48.0227	  1.202
NGC6654A                    	279.8637	73.581	      1.902
NGC0925                     	036.8203	33.579	      11.1
PGC032091                   	161.2954	-10.0647	  1.045
NGC4455                     	187.1836	22.8215	      1.992
ESO380-025                  	186.1429	-35.4094	  1.2
PGC018154                   	089.5164	-59.862	      1.202
PGC062387                   	281.7043	70.3646	      0.571
PGC027825                   	145.8691	-5.3654	      0.976
NGC2500                     	120.4716	50.7372	      2.184
PGC2792068                  	148.2954	-49.3304	  0.468
ESO363-015                  	085.2538	-35.7084	  1.902
NGC4490                     	187.6516	41.6437	      4.562
ESO548-070                  	055.1724	-22.2859	  1.66
ESO508-007                  	196.7821	-24.1114	  1.622
NGC4781                     	193.5991	-10.537	      2.395
ESO220-032                  	205.5012	-48.3101	  1.046
IC1555                      	008.6361	-30.0179	  0.87
ESO433-004                  	136.833	    -32.1753      1.475
IC5269C                     	345.2004	-35.3707	  1.41
ESO345-046                  	340.8156	-39.8676	  1.582
NGC1494                     	059.4277	-48.9115	  2.394
NGC6821                     	296.1001	-6.8334	      0.83
UGC04867                    	138.6796	40.8795	      1.228
ESO021-002                  	200.9365	-78.6841	  1.38
NGC0600                     	023.2720	-7.3115	      2.686
ESO079-005                  	010.1835	-63.4409	  1.512
ESO565-029                  	144.4519	-22.4052	  1.51
NGC1313                     	049.5642	-66.4974	  9
ESO028-014                  	004.9933	-77.0914	  1.084
NGC5725                     	220.2432	2.1868	      0.83
NGC4288                     	185.1588	46.2915	      1.694
ESO504-028                  	178.7268	-27.2513	  1.046
NGC3589                     	168.8073	60.701	      1.07
PGC017978                   	087.7272	-14.7801	  2.17
ESO489-023                  	093.8712	-22.6027	  0.932
UGC09057                    	212.5537	-2.5759	      0.457
ESO311-007                  	116.2348	-41.7809	  1.622
PGC025938                   	138.028	    -15.4311	  0.953
PGC289052                   	019.7571	-68.0451	  0.832
NGC5892                     	228.451	    -15.4637      2.566
PGC003853                   	016.2703	-6.2124	      3.156
NGC4561                     	189.0339	19.3226	      0.932
NGC4178                     	183.1929	10.8658	      3.542
PGC070657                   	347.9025	-15.4763	  0.976
NGC4173                     	183.0892	29.207	      3.157
ESO030-008                  	032.2573	-75.935	      1.618
ESO340-009                  	304.3357	-38.6736	  1.619
NGC4747                     	192.9405	25.7758	      2.451
ESO489-006                  	091.9363	-23.4867	  1.346
ESO324-023                  	201.8709	-38.1769	  2.813
IC1125                      	233.2737	-1.6288	      1.174
NGC4948                     	196.2333	-7.9477	      1.477
IC4536                      	228.3228	-18.1343	  1.583
NGC7793                     	359.4571	-32.591	      9.3
UGC08995                    	211.1973	8.8007	      1.547
UGC04882                    	139.1049	42.9917	      0.794
ESO562-019                  	128.4871	-21.885	      1.475
PGC027833                   	145.9008	-5.9124	      1.546
NGC4207                     	183.877	    9.5849	      1.145
UGC06112                    	165.6466	16.735	      1.817
NGC4116                     	181.9036	2.6916	      2.686
ESO497-002                  	135.3643	-26.3	      1.377
NGC3252                     	158.5963	73.7652	      1.409
PGC012798                   	051.3534	-16.2332	  1.902
NGC4496A                    	187.9135	3.9395	      2.749
UGC02370                    	043.6092	42.6502	      1.475
UGC05151                    	145.1125	48.3376	      0.477
PGC165693                   	250.7611	-20.669	      0.449
PGC014768                   	064.0522	-16.7507	  1.2
NGC3287                     	158.697	    21.6483       1.476
IC4986                      	304.2982	-55.0364	  1.51
ESO427-034                  	106.8565	-28.2265	  1.346
ESO595-010                  	301.0785	-19.0653	  1.146
ESO013-016                  	023.1990	-79.4737	  1.618
ESO063-011                  	168.282	    -69.2613      3.802
UGC12344                    	346.2496	18.7033	      1.519
PGC036551                   	176.1469	-3.801        1.286
ESO482-005                  	053.2588	-24.1329 	  1.511
PGC045195                   	196.1299	-3.5724	      2.508
ESO580-022                  	221.5207	-18.0215	  1.545
IC3259                      	185.9521	7.1861	      1.199
ESO236-006                  	320.2867	-47.5151	  0.999
ESO161-001                  	095.1256	-57.4952	  0.83
ESO505-003                  	180.2799	-24.5685	  1.696
ESO010-004                  	292.7581	-86.0156	  1.735
ESO418-008                  	052.8775	-30.2132	  1.021
NGC4633                     	190.6557	14.3572	      1.316
ESO548-021                  	051.8980	-21.2283      1.476
ESO504-030                  	179.3122	-27.7	      0.793
IC3414                      	187.3699	6.7721	      1.095
NGC0045                     	003.5163	-23.1821	  5.486
UGC06531                    	173.2051	39.085	      1.302
PGC009559                   	037.6693	-3.809	      2.507
NGC4534                     	188.5225	35.5187	      2.084
NGC4517A                    	188.1166	0.3906	      3.015
NGC5789                     	224.1486	30.2337	      0.645
NGC2427                     	114.1171	-47.6353	  3.708
ESO007-006                  	190.5231	-84.4645	  1.286
UGC11861                    	329.1006	73.2609       2.507
ESO491-009                  	103.8549	-26.6073      1.257
ESO150-005                  	005.6095	-53.6479	  1.952
UGC09364                    	218.3397	6.8777	      1.12
PGC052618                   	221.002 	-12.9516      1.021
IC0284                      	046.5414	42.372	      2.946
NGC7250                     	334.5742	40.5625       1.256
IC0600                      	154.2955	-3.4977       1.694
NGC3659                     	170.9391	17.8184	      1.656
UGC05349                    	149.5261	37.2928       1.902
UGC05376                    	150.1128	3.3744	      1.41
NGC4027                     	179.8755	-19.2652	  2.34
ESO328-043                  	229.8234	-41.2336	  1.657
UGC11557                    	306.003	     60.1948	  1.545
ESO293-045                  	002.8534	-41.3983	  1.285
ESO219-022                  	195.5983	-49.4734	  2.089
ESO400-025                  	306.9084	-32.9574	  1.229
UGC03390                    	090.5217	36.1044	      1.444
PGC044506                   	194.7027	-6.1122	      1.286
NGC4592                     	189.8283	-0.532	      4.46
ESO513-004                  	223.8328	-25.473	      1.045
PGC091755                   	341.8092	75.7554	      0.851
ESO289-026                  	335.8885	-42.2744	  1.346
ESO347-029                  	354.111	    -38.7841      1.992
UGC09470                    	220.4529	0.6869	      0.911
UGC01240                    	026.5858	4.2641	      0.811
PGC044278                   	194.3157	-5.3461       1.121
NGC4423                     	186.7873	5.8802        1.656
UGC00132                    	003.5031	12.9639	      1.146
ESO054-021                  	057.4591	-71.6344	  3.383
ESO137-027                  	246.6736	-59.9557	  2.085
IC1291                      	278.4687	49.2786	      1.286
ESO384-005                  	208.0672	-37.457	      1.411
NGC5147                     	201.5817	2.1008	      1.378
ESO440-004                  	176.4247	-28.3666	  1.947
NGC3057                     	151.4136	80.2857	      1.657
UGC04543                    	130.8409	45.736	      2.394
NGC4236                     	184.1752	69.4625	      22.6
NGC3264                     	158.0827	56.0834	      2.184
PGC170174                   	177.4615	-16.1677	  0.629
PGC015869                   	070.7388	-8.0908	      1.347
ESO433-002                  	136.6168	-28.0242	  1.229
UGC12069                    	337.6927	76.5111	      1.084
UGC04549                    	131.0893	58.8419	      1.146
ESO305-009                  	077.0283	-38.312	      2.086
PGC048087                   	204.2703	-11.8298	  1.157
NGC0337A                    	015.3913	-7.5882	      4.257
ESO149-001                  	356.9529	-57.0726	  2.626
IC2329                      	125.581	    19.4159       1.51
PGC009272                   	036.5887	-9.8407	      1.992
UGC11651                    	314.314	    25.9676       2.287
UGC03602                    	103.8616	15.9344	      1.045
UGC10054                    	235.9791	81.8107	      1.992
UGC08489                    	202.4113	45.3878	      1.51
UGC10806                    	259.7142	49.8842	      1.51
UGC04722                    	135.0999	25.611	      0.998
PGC014487                   	061.8016	-17.2052	  1.378
PGC016389                   	074.2449	-42.8009	  0.706
IC0163                      	027.3130	20.711	      1.316
UGC05612                    	156.0277	70.8822	      2.449
PGC037238                   	178.2498	-4.4258	      1.442
UGC05633                    	156.1669	14.7565	      2.038
ESO302-009                  	056.8921	-38.5766	  1.618
UGC04659                    	133.6683	47.1044	      1.41
ESO138-010                  	254.7619	-60.2161	  3.462
UGC07189                    	182.8278	74.8082	      1.228
ESO384-002                  	207.8287	-33.8079	  3.709
ESO358-054                  	055.7601	-36.2732	  1.228
NGC3034                     	148.9684	69.6797	      11.2
IC4386                      	213.763	    -43.9629      2.34
UGC00328                    	008.3419	-1.1213	      0.868
PGC041965                   	188.9071	-7.8768	      3.013
UGC12178                    	341.2858	6.4306	      2.184
UGC04540                    	130.6462	10.5851	      1.12
PGC053134                   	223.1451	-3.5616	      2.085
ESO008-008                  	232.8364	-87.4364	  1.816
UGC04499                    	129.4228	51.6524	      1.902
UGC05738                    	158.6242	35.2567	      0.66
PGC005329                   	021.4914	-3.9818	      1.379
UGC05187                    	145.7761	41.0929	      0.723
NGC3879                     	176.7058	69.3836	      1.902
PGC049521                   	208.9392	-6.0023	      1.146
UGC05393                    	150.4251	33.1364	      1.443
ESO272-009                  	216.7321	-45.8786	  0.91
ESO346-018                  	344.2996	-40.0988	  2.239
PGC053568                   	224.9203	-6.9899	      1.227
PGC007324                   	029.2461	-11.7805	  1.901
UGC07579                    	186.9807	5.7212	      0.91
ESO508-034                  	199.2394	-25.3375	  0.87
NGC6168                     	247.8367	20.1857	      1.045
IC1014                      	217.0765	13.7803       2.038
UGC05921                    	162.3012	27.9279	      1.228
PGC016850                   	077.5209	-14.9499	  0.998
UGC01945                    	037.0516	-1.3489	      1.286
UGC04482                    	128.8077	28.7535	      0.871
UGC02984                    	063.3018	13.4211	      1.199
NGC1518                     	061.7035	-21.178	      2.235
UGC12843                    	358.8759	17.9197	      1.992
ESO601-007                  	330.5905	-21.0414      1.229
ESO485-021                  	073.2207	-25.2458	  2.566
NGC4299                     	185.4187	11.503	      1.173
UGC04254                    	122.3499	0.6095	      0.976
IC3148                      	184.8417	7.8711	      0.549
NGC1507                     	061.1115	-2.1962	      2.34
ESO505-013                  	181.53	    -22.8483      2.038
ESO444-033                  	201.5178	-32.1293	  0.932
NGC3165                     	153.3804	3.3749	      0.976
IC3517                      	188.6283	9.154	      0.757
ESO479-004                  	036.5905	-24.2905	  1.947
NGC0428                     	018.2317	0.9817	      2.75
UGC12350                    	346.3333	16.8664	      1.902
NGC7107                     	325.6101	-44.7918	  1.2
NGC1879                     	079.9516	-32.1436	  1.735
NGC3510                     	165.9309	28.8871	      2.945
ESO438-007                  	167.5374	-30.3292	  1.413
UGC09682                    	226.1257	-0.8514	      1.315
IC3576                      	189.1567	6.6205	      1.656
UGC05675                    	157.1248	19.5626       1.514
ESO556-019                  	095.4597	-20.226	      1.045
UGC04837                    	138.0396	35.5316	      1.477
ESO154-023                  	044.2090	-54.5706	  8.2
UGC06682                    	175.7878	59.1058	      1.158
UGC03475                    	097.6201	39.5038	      1.514
ESO539-007                  	004.7020	-19.0078	  0.869
ESO548-005                  	050.9469	-19.7527	  1.045
NGC0055                     	003.7233	-39.1966	  32.4
NGC5486                     	211.854	    55.103        1.095
UGC12846                    	358.9423	18.4259	      1.549
NGC0853                     	032.9221	-9.3055       1.121
NGC4597                     	190.0537	-5.7991	      2.686
UGC07557                    	186.7974	7.2626	      2.185
NGC0178                     	009.7848	-14.1729	  1.477
NGC2793                     	139.1943	34.4317	      0.849
NGC4618                     	190.3866	41.1489	      3.157
NGC3985                     	179.1754	48.334	      0.706
UGC12212                    	342.6262	29.1384	      1.95
NGC4234                     	184.2882	3.6832	      0.849
UGC08894                    	209.4489	63.3967	      1.156
IC1986                      	055.1464	-45.3549	  0.975
UGC05688                    	157.6035	70.0504	      2.686
UGC06399                    	170.8465	50.8928       1.992
NGC3447                     	163.35	    16.7724       2.626
IC1727                      	026.8744	27.3333	      6.9
ESO550-005                  	061.5003	-17.7754	  1.656
ESO270-017                  	203.6941	-45.5473	  8.896
UGC08588                    	203.9281	45.9296	      0.932
UGC06628                    	175.0278	45.9429	      2.185
UGC06970                    	179.6905	-1.4614	      1.046
NGC4395                     	186.4537	33.5469	      13.2
UGC06917                    	179.1198	50.4283	      2.813
NGC2188                     	092.5404	-34.1139	  3.383
PGC043345                   	192.3481	-10.1199	  3.014
NGC4625                     	190.4697	41.2738	      1.695
UGC06998                    	180.1986	-0.0231	      1.047
NGC1051                     	040.2603	-6.9358	      1.82
UGC06956                    	179.6067	50.917	      1.591
UGC00099                    	002.6698	13.7094	      1.808
UGC10290                    	243.6373	0.8217	      1.315
NGC2799                     	139.3789	41.9942	      1.316
PGC014626                   	062.8314	-16.2297	  1.095
PGC064176                   	302.338	    -6.2877       1.946
PGC048786                   	206.4085	-5.9847	      1.199
UGC07911                    	191.1198	0.4681	      1.817
UGC02345                    	042.9696	-1.1721	      2.394
ESO406-042                  	345.5593	-37.0836	  1.119
UGC09500                    	221.3395	7.8627	      2.025
UGC00634                    	015.3547	7.6259	      1.229
NGC1253A                    	048.5994	-2.8003	      1.228
UGC01803                    	035.1217	6.8104	      1.735
ESO594-017                  	297.0918	-18.0784	  1.947
ESO234-043                  	308.0571	-48.5309	  1.477
ESO434-033                  	146.2008	-31.8256	  1.546
NGC3445                     	163.6488	56.9898	      1.119
PGC043458                   	192.6225	-10.8544	  2.34
PGC069293                   	339.1458	-2.9067	      1.775
NGC3432                     	163.1292	36.6195	      5.002
ESO481-014                  	048.4194	-25.1902	  2.749
NGC6836                     	298.6668	-12.688	      1.146
PGC012981                   	052.3891	-15.2381	  1.443
NGC4038                     	180.4708	-18.868	      4.258
NGC7232B                    	333.9685	-45.7807	  0.999
ESO438-005                  	167.2425	-28.3726	  2.135
ESO300-014                  	047.4094	-41.0319	  2.687
PGC043020                   	191.4222	-6.0725	      2.339
NGC4039                     	180.4734	-18.8864	  3.883
ESO008-007                  	225.8706	-82.7963	  1.347
IC4710                      	277.1581	-66.9822	  2.395
NGC7162A                    	330.1482	-43.1405	  1.582
NGC1326A                    	051.2868	-36.3631	  1.173
UGC05391                    	150.4207	37.2477	      0.461
NGC1326B                    	051.3339	-36.3868	  2.451
ESO179-013                  	251.8366	-57.4387      2.343
PGC006228                   	025.2796	-5.5682	      1.656
NGC1110                     	042.2899	-7.8371	      2.038
ESO563-016                  	130.8154	-20.6626	  1.656
ESO426-001                  	095.4291	-27.558	      1.347
PGC010128                   	040.1256	-6.1068       1.072
PGC016784                   	076.9468	-16.2936	  1.695
UGC05172                    	145.4659	48.6711	      1.085
UGC04385                    	125.9665	14.7524	      0.615
ESO382-045                  	200.0617	-36.0447	  2.625
ESO126-011                  	141.6015	-60.6147	  1.288
ESO207-007                  	102.6649	-52.1423	  1.776
ESO421-019                  	072.2940	-29.2064	  1.734
PGC051523                   	216.4392	-5.4018	      0.911
ESO010-006                  	295.0575	-84.2737	  0.811
ESO347-008                  	350.2047	-41.7309	  1.316
NGC2552                     	124.8355	50.0097	      2.565
ESO269-056                  	197.5066	-43.2119	  2.134
PGC036274                   	175.345	    -6.4795       1.173
UGC06070                    	164.9428	33.3918	      0.49
ESO187-035                  	314.2329	-55.7199	  1.013
ESO548-032                  	053.0809	-17.719	      1.23
PGC007109                   	028.7194	-13.654	      0.792
ESO012-014                  	000.6766	-80.3482	  1.657
ESO267-036                  	183.9022	-44.4549	  1.445
ESO431-018                  	128.899	    -32.1493      2.183
ESO092-004                  	149.9383	-67.6422	  1.82
ESO085-014                  	073.6827	-62.8002	  2.134
NGC3664                     	171.1012	3.325	      1.146
UGC11868                    	329.7696	18.1775	      1.476
NGC4656                     	190.9909	32.1699	      11.198
PGC053595                   	225.1003	-13.5526	  1.546
PGC072006                   	354.703	    -5.7469       1.286
ESO509-026                  	202.1028	-27.5698	  0.94
PGC139147                   	133.2433	49.4603	      0.469
PGC048179                   	204.5431	-9.8019	      1.657
PGC027188                   	143.5287	-15.306	      0.74
ESO187-051                  	316.8865	-54.9525	  1.38
ESO371-003                  	130.0153	-34.4064	  1.173
NGC2863                     	140.9028	-10.4328	  0.758
ESO495-011                  	125.8293	-26.1971	  0.975
PGC007998                   	031.4551	-9.8219	      1.173
IC1870                      	044.4721	-2.3464	      1.992
ESO114-007                  	026.6256	-58.6736	  1.147
ESO145-025                  	328.5204	-57.6114	  1.656
ESO371-024                  	133.1635	-33.466	      1.378
ESO380-034                  	187.0021	-37.3298	  1.862
ESO041-006                  	215.9602	-75.3221	  1.946
PGC007900                   	031.1308	-6.199	      2.34
UGC00942                    	020.9319	6.6914	      0.868
IC4869                      	294.0094	-61.0278	  1.316
ESO208-033                  	114.5929	-50.7568	  1.62
NGC4945A                    	196.642	    -49.6891	  1.859
ESO505-023                  	182.4009	-23.4119	  1.285
ESO557-006                  	098.7528	-21.7689	  1.12
ESO189-021                  	330.6546	-54.0799	  1.346
ESO580-020                  	221.4385	-20.7828	  0.975
UGC03273                    	079.4350	53.5503	      1.816
ESO372-008                  	137.5155	-33.1542	  1.619
ESO257-017                  	111.8886	-45.6845	  0.447
PGC013821                   	056.6589	-16.5503	  1.021
ESO572-030                  	179.6058	-22.44	      1.902
UGC10985                    	267.0184	14.7414	      0.931
ESO056-115                  	080.8941	-69.7561	  646
ESO580-018                  	221.3574	-20.6857	  1.619
NGC1140                     	043.6398	-10.0283	  1.258
ESO035-020                  	120.8214	-77.0729	  2.024
NGC3952                     	178.4191	-3.9963	      1.172
NGC4758                     	193.1863	15.8414	      2.183
ESO358-020                  	053.7387	-32.64	      0.83
UGC01014                    	021.5982	6.278	      0.831
NGC3396                     	162.4806	32.9908	      1.946
NGC1679                     	072.4816	-31.9656	  1.992
NGC5464                     	211.7682	-30.0171	  0.932
PGC063556                   	295.7989	-6.9392	      0.911
ESO036-006                  	129.6957	-75.1532	  2.183
UGC07249                    	183.6549	12.8125	      1.07
NGC7764                     	357.7245	-40.7319	  1.316
NGC1602                     	066.9790	-55.0578	  1.409
ESO434-034                  	146.3742	-30.3422	  1.946
NGC2131                     	089.6980	-26.6531	  0.83
PGC040951                   	187.0152	2.9101	      0.69
IC3476                      	188.1744	14.0504       1.582
UGC09169                    	214.9354	9.3622	      3.015
UGC12856                    	359.1873	16.8119	      1.316
ESO505-002                  	180.1327	-24.7239	  1.2
NGC5798                     	224.4085	29.9686	      1.022
NGC4532                     	188.5806	6.4679	      2.085
PGC166111                   	170.9212	19.2738       0.436
NGC4485                     	187.6303	41.7009	      1.816
NGC3136A                    	150.8862	-67.4497	  1.585
NGC3846A                    	176.0616	55.035	      1.378
NGC3026                     	147.7305	28.5512       1.902
PGC013501                   	055.0321	66.7129	      0.953
ESO565-001                  	140.3647	-22.5006	  1.82
ESO015-001                  	055.9381	-80.1053	  1.41
UGC03912                    	113.5525	4.5464	      1.315
ESO553-033                  	079.7553	-21.542	      1.012
NGC4630                     	190.6296	3.96	      1.229
ESO576-059                  	201.6462	-22.238	      1.201
PGC016917                   	078.0954	-14.3597	  0.91
UGC07300                    	184.1808	28.7307	      1.013
NGC4449                     	187.0455	44.0925	      6.2
NGC3239                     	156.2701	17.1636	      3.229
NGC7800                     	359.9025	14.8067	      1.696
ESO039-002                  	177.5857	-75.3709	  2.086
PGC044701                   	195.0177	-15.3624	  0.929
IC2507                      	146.1372	-31.7918	  1.2
NGC4376                     	186.3252	5.7411	      1.022
ESO443-079                  	197.5947	-27.977	      1.201
NGC5510                     	213.4053	-17.9836	  0.976
UGC06955                    	179.6251	38.0761       3.624
IC0718                      	174.9697	8.8746	      0.869
NGC5608                     	215.8228	41.776	      1.901
IC2171                      	101.1147	-17.9326	  1.142
NGC1156                     	044.9284	25.2411	      3.3
UGC07428                    	185.511	    32.0957       0.932
UGC06816                    	177.6979	56.4554	      1.069
UGC07690                    	188.1123	42.704        1.378
ESO508-030                  	198.7285	-23.1438	  1.23
