|Galaxy_name                    |R.A.       |Decl.        |Ang_R
ESO091-016                  	144.5569	-63.4864	  1.146
NGC4037                     	180.3486	13.4011	      1.816
NGC7463                     	345.4668	15.9818	      2.184
NGC0489                     	020.4745	9.2065	      1.2
ESO495-012                  	125.9658	-25.8382	  1.346
NGC5492                     	212.6467	19.6122       1.735
PGC020827                   	110.5453	-5.9298	      1.046
NGC5188                     	202.8678	-34.7944      2.184
NGC5560                     	215.0209	3.9919	      2.566
NGC2841                     	140.5099	50.9769       5.486
ESO122-001                  	100.18	    -58.5247      2.234
NGC7724                     	354.7798	-12.2241      1.022
NGC2683                     	133.1716	33.4211       9.3
NGC4217                     	183.9621	47.0918       3.541
NGC4216                     	183.9762	13.15         5.745
NGC0224                     	010.6846	41.2687       189
IC1067                      	223.2718	3.3317	      1.443
UGC06169                    	166.7641	12.0601	      1.346
NGC5792                     	224.5944	-1.0909       5.002
NGC4013                     	179.6307	43.9467	      3.461
NGC2550                     	126.1401	74.0123	      0.723
NGC0779                     	029.9271	-5.9639	      2.946
NGC3625                     	170.1303	57.7814	      1.443
NGC5740                     	221.1018	1.6797	      1.902
IC4660                      	260.4384	75.8487	      0.931
NGC4800                     	193.6573	46.5311	      1.147
IC1048                      	220.7416	4.8897	      1.618
NGC4343                     	185.9112	6.9539	      1.657
NGC3675                     	171.5338	43.5871	      4.459
ESO001-009                  	348.1188	-89.1263	  1.656
PGC053093                   	223.0432	-10.7404	  1.119
IC1993                      	056.7700	-33.7098	  1.774
NGC1519                     	062.0316	-17.1928	  1.546
PGC057723                   	244.3156	-11.7317	  1.735
NGC1530                     	065.8629	75.2956	      3.305
NGC5746                     	221.2333	1.9547	      4.889
UGC06320                    	169.5721	18.8471	      0.644
NGC2397                     	110.3334	-69.0014	  1.776
NGC1068                     	040.6696	-0.0132	      5.484
NGC5205                     	202.5151	62.5115	      2.287
UGC03685                    	107.2747	61.5955	      2.395
NGC1485                     	061.2664	70.9966	      1.545
NGC0891                     	035.6397	42.3471	      13.1
PGC018373                   	091.1421	-12.6233	  1.775
IC5271                      	344.5075	-33.7422	  1.656
NGC3440                     	163.456	    57.1187       1.511
IC0127                      	022.4484	-6.98	      1.095
NGC4394                     	186.4816	18.2139	      2.507
NGC1055                     	040.4371	0.4432	      5.002
NGC3351                     	160.9903	11.7037	      7.4
ESO492-002                  	107.9182	-26.705	      1.547
PGC054411                   	228.6427	-52.9894	  0.89
NGC3485                     	165.0099	14.8415	      1.696
NGC4067                     	181.048	    10.8544       0.954
UGC07086                    	181.4836	77.5051	      1.947
NGC2854                     	141.0127	49.2043	      1.199
ESO021-005                  	205.6105	-79.0114	  1.228
ESO498-003                  	140.902	    -26.8817      1.07
NGC5729                     	220.5286	-9.0094	      1.859
NGC1532                     	063.0180	-32.8742	  8.497
IC0902                      	204.0051	49.9608	      1.546
NGC3912                     	177.5188	26.4793	      1.095
NGC3627                     	170.0625	12.9916	      9.1
NGC5850                     	226.7818	1.5447	      3.23
NGC5470                     	211.633	    6.0297        1.816
NGC4133                     	182.208	    74.9043       1.316
NGC3507                     	165.8557	18.136	      2.394
PGC027130                   	143.3137	-16.7678	  1.511
NGC4749                     	192.8001	71.6368	      1.227
NGC4995                     	197.4195	-7.8332	      1.735
NGC2788B                    	135.8976	-67.9689	  1.07
NGC4102                     	181.5982	52.7109	      2.235
NGC2082                     	085.4629	-64.3011	  1.347
ESO090-015                  	135.5233	-64.9042	  1.256
NGC3692                     	172.1016	9.4077	      2.286
NGC7723                     	354.7378	-12.9613	  2.394
NGC0210                     	010.1460	-13.8728	  3.382
NGC1241                     	047.8110	-8.9221       2.287
UGC04054                    	117.7333	23.8962	      2.086
NGC4548                     	188.86	    14.4963       3.794
NGC2708                     	134.0337	-3.36	      2.134
NGC1703                     	073.2172	-59.7422	  2.236
NGC3628                     	170.0707	13.5894	      9.316
ESO037-005                  	146.6179	-74.5956	  2.133
NGC3455                     	163.6294	17.2847	      1.902
NGC6300                     	259.2469	-62.82	      3.542
IC2367                      	126.042	    -18.7755      1.735
ESO428-029                  	110.925	    -29.6524      1.146
NGC3018                     	147.4225	0.6208	      0.793
IC5333                      	353.7208	-65.3961	  1.286
NGC5937                     	232.6921	-2.8294       1.346
NGC3717                     	172.8831	-30.3077	  4.562
NGC2935                     	144.187	    -21.1281      2.813
NGC1484                     	058.5768	-36.9701	  1.734
NGC4565                     	189.0864	25.9873       10.945
UGC09389                    	218.8885	12.9083       1.583
NGC2613                     	128.3449	-22.9736	  5.119
IC4402                      	215.3046	-46.2978      3.542
NGC4307                     	185.5234	9.0435        2.507
NGC2955                     	145.3192	35.8822       1.12
UGC04550                    	130.8163	13.0858       1.946
NGC7496                     	347.4469	-43.428       2.038
NGC7412                     	343.9402	-42.6421	  2.879
IC1954                      	052.8808	-51.9049	  2.233
NGC1365                     	053.4016	-36.1405	  7.929
NGC3547                     	167.4829	10.7209	      1.476
ESO126-010                  	140.6041	-61.0493	  1.256
ESO490-044                  	101.6835	-27.278	      0.889
NGC3673                     	171.3036	-26.7366      2.687
NGC4412                     	186.6505	3.9648	      0.975
NGC3982                     	179.1172	55.1249	      1.694
PGC015873                   	070.7860	0.7441	      0.616
IC2461                      	139.9918	37.1912	      1.695
IC1022                      	217.5076	3.7729	      0.793
NGC7513                     	348.3082	-28.3575	  2.339
NGC5806                     	225.0016	1.8913	      2.183
NGC5878                     	228.4405	-14.2698	  2.287
NGC1097                     	041.5795	-30.275	      6.905
NGC1425                     	055.5478	-29.8934	  4.357
ESO309-005                  	103.2619	-39.2704	  1.146
ESO202-035                  	068.0682	-49.6758	  1.902
NGC4157                     	182.7682	50.4848	      4.778
ESO097-013                  	213.2913	-65.339	      6.9
IC4351                      	209.476     -29.3156      4.161
NGC5362                     	208.722	    41.3135       1.619
NGC4947                     	196.3342	-35.3374	  1.816
ESO494-026                  	121.546	    -27.528	      3.541
